sale_id,sale_date,customer_id,product_id,region,quantity,unit_price,discount,revenue,cost,profit,margin
SALE000087,2025-04-08,CUST08382,PROD008,North America,5,179.0,0.1,1201.01,737.94,463.07,0.3856
SALE000088,2024-03-04,CUST00932,PROD013,Asia,1,89.0,0.05,85.48,44.06,41.42,0.4846
SALE000089,2025-06-05,CUST02458,PROD004,Europe,10,79.0,0.0,1004.19,557.5,446.69,0.4448
SALE000090,2024-12-19,CUST09622,PROD004,North America,5,79.0,0.0,393.41,224.96,168.45,0.4282
SALE000091,2025-10-01,CUST00686,PROD005,Asia,1,199.0,0.15,137.74,98.12,39.62,0.2876
SALE000092,2024-03-19,CUST02038,PROD013,Europe,1,89.0,0.05,86.44,43.54,42.9,0.4963
SALE000093,2024-08-09,CUST00341,PROD004,Europe,3,79.0,0.05,249.57,127.47,122.1,0.4892
SALE000094,2025-09-04,CUST07363,PROD009,South America,5,549.0,0.05,2375.09,1426.29,948.8,0.3995
SALE000095,2024-06-20,CUST03295,PROD006,Asia,5,599.0,0.0,5329.6,3466.52,1863.08,0.3496
SALE000096,2024-07-16,CUST07111,PROD001,Oceania,3,49.0,0.0,161.12,113.74,47.38,0.2941
SALE000097,2024-08-08,CUST00170,PROD004,Oceania,2,79.0,0.15,163.94,104.95,58.99,0.3598
SALE000098,2025-01-17,CUST01663,PROD006,North America,2,599.0,0.05,1217.28,733.6,483.68,0.3973
SALE000099,2024-02-09,CUST01149,PROD017,Asia,1,99.0,0.0,96.66,71.28,25.38,0.2626
SALE000100,2025-03-27,CUST00255,PROD004,Europe,10,79.0,0.0,897.19,611.05,286.14,0.3189
SALE000101,2025-08-14,CUST00109,PROD012,Europe,3,449.0,0.0,1221.39,820.93,400.46,0.3279
SALE000102,2024-08-11,CUST02303,PROD017,Asia,1,99.0,0.05,88.16,63.36,24.8,0.2813
SALE000103,2024-05-05,CUST08595,PROD020,Europe,5,75.0,0.0,496.87,327.36,169.51,0.3412
SALE000104,2024-09-13,CUST05410,PROD010,South America,1,39.0,0.0,31.38,21.61,9.77,0.3113
SALE000105,2025-04-16,CUST07581,PROD001,Asia,10,49.0,0.05,487.79,339.93,147.86,0.3031
SALE000106,2025-01-08,CUST01264,PROD004,Oceania,3,79.0,0.05,220.37,123.76,96.61,0.4384
SALE000107,2025-03-17,CUST08993,PROD011,Europe,1,129.0,0.0,152.66,89.92,62.74,0.411
SALE000108,2025-08-11,CUST09401,PROD012,North America,2,449.0,0.0,1835.22,994.76,840.46,0.458
SALE000109,2025-11-23,CUST05967,PROD020,North America,2,75.0,0.15,173.96,100.06,73.9,0.4248
SALE000110,2024-11-26,CUST07828,PROD009,Europe,3,549.0,0.15,1363.15,838.11,525.04,0.3852
SALE000111,2025-07-09,CUST04126,PROD009,Europe,2,549.0,0.15,1278.5,807.73,470.77,0.3682
SALE000112,2024-12-24,CUST02243,PROD009,Asia,3,549.0,0.15,1157.35,619.68,537.67,0.4646
SALE000113,2024-04-11,CUST08766,PROD006,Asia,2,599.0,0.0,1391.85,750.02,641.83,0.4611
SALE000114,2025-03-11,CUST01131,PROD005,Oceania,10,199.0,0.05,1876.98,961.87,915.11,0.4875
SALE000115,2025-11-27,CUST03875,PROD019,Oceania,3,25.0,0.2,58.92,42.3,16.62,0.2821
SALE000116,2024-11-06,CUST00676,PROD013,Asia,2,89.0,0.0,186.43,111.32,75.11,0.4029
SALE000117,2025-01-29,CUST03054,PROD018,North America,2,399.0,0.0,981.19,567.36,413.83,0.4218
SALE000118,2025-06-14,CUST08197,PROD017,North America,3,99.0,0.1,337.77,198.4,139.37,0.4126
SALE000119,2025-08-29,CUST07436,PROD018,Asia,5,399.0,0.05,1660.7,935.52,725.18,0.4367
SALE000120,2024-01-04,CUST08822,PROD010,Asia,1,39.0,0.0,34.46,21.55,12.91,0.3746
SALE000121,2024-02-11,CUST08162,PROD006,North America,1,599.0,0.05,573.37,295.46,277.91,0.4847
SALE000122,2024-12-19,CUST05261,PROD003,North America,1,499.0,0.0,685.12,484.05,201.07,0.2935
SALE000123,2024-03-22,CUST09661,PROD017,Asia,2,99.0,0.0,170.89,90.85,80.04,0.4684
SALE000124,2025-11-05,CUST05647,PROD006,North America,1,599.0,0.15,705.95,492.91,213.04,0.3018
SALE000125,2025-05-30,CUST06492,PROD017,North America,10,99.0,0.05,1118.03,759.12,358.91,0.321
SALE000126,2025-03-26,CUST04223,PROD007,Asia,1,59.0,0.1,44.62,23.43,21.19,0.4749
SALE000127,2025-03-02,CUST02986,PROD003,Europe,10,499.0,0.05,4855.55,3619.53,1236.02,0.2546
SALE000128,2024-12-21,CUST07986,PROD018,Europe,3,399.0,0.0,2267.78,1378.29,889.49,0.3922
SALE000129,2024-02-06,CUST09188,PROD008,North America,1,179.0,0.1,189.19,125.06,64.13,0.339
SALE000130,2025-07-18,CUST08737,PROD013,North America,1,89.0,0.1,162.53,83.73,78.8,0.4848
SALE000131,2024-12-15,CUST07386,PROD009,North America,2,549.0,0.0,1380.06,1027.22,352.84,0.2557
SALE000132,2024-10-14,CUST03141,PROD019,Asia,3,25.0,0.0,107.48,75.79,31.69,0.2948
SALE000133,2024-11-15,CUST08232,PROD004,Europe,2,79.0,0.05,198.26,118.15,80.11,0.4041
SALE000134,2024-12-07,CUST09006,PROD007,North America,2,59.0,0.05,118.9,69.4,49.5,0.4163
SALE000135,2025-11-19,CUST04584,PROD016,Oceania,3,29.0,0.0,89.18,53.36,35.82,0.4017
SALE000136,2024-05-22,CUST02418,PROD018,North America,1,399.0,0.05,562.08,324.92,237.16,0.4219
SALE000137,2024-05-09,CUST06581,PROD012,South America,2,449.0,0.15,729.75,486.58,243.17,0.3332
SALE000138,2024-03-31,CUST02205,PROD016,Asia,10,29.0,0.1,282.88,177.98,104.9,0.3708
SALE000139,2025-03-29,CUST09753,PROD013,Asia,1,89.0,0.1,91.96,59.99,31.97,0.3477
SALE000140,2024-01-19,CUST08514,PROD019,Oceania,3,25.0,0.1,65.51,44.82,20.69,0.3158
SALE000141,2025-08-01,CUST06578,PROD020,North America,1,75.0,0.0,103.01,75.57,27.44,0.2664
SALE000142,2025-06-18,CUST05204,PROD005,Asia,5,199.0,0.0,1424.33,717.68,706.65,0.4961
SALE000143,2025-06-02,CUST01768,PROD007,Europe,5,59.0,0.0,368.43,228.57,139.86,0.3796
SALE000144,2024-12-08,CUST00524,PROD019,North America,1,25.0,0.1,23.79,14.06,9.73,0.409
SALE000145,2024-10-26,CUST00163,PROD006,Europe,10,599.0,0.0,7571.44,4466.77,3104.67,0.4101
SALE000146,2025-11-17,CUST01020,PROD014,Asia,1,249.0,0.15,369.51,238.1,131.41,0.3556
SALE000147,2025-08-30,CUST04236,PROD020,Europe,2,75.0,0.2,136.11,83.17,52.94,0.389
SALE000148,2024-05-09,CUST02882,PROD015,Europe,1,699.0,0.05,798.79,588.94,209.85,0.2627
SALE000149,2024-07-08,CUST03494,PROD014,North America,2,249.0,0.1,822.05,507.33,314.72,0.3828
SALE000150,2024-06-27,CUST01784,PROD004,Europe,2,79.0,0.0,168.54,94.28,74.26,0.4406
SALE000151,2024-12-11,CUST07206,PROD005,Asia,1,199.0,0.0,231.69,146.27,85.42,0.3687
SALE000152,2025-04-11,CUST09964,PROD005,Oceania,5,199.0,0.1,900.14,552.43,347.71,0.3863
SALE000153,2024-06-10,CUST00012,PROD002,Oceania,2,149.0,0.1,261.81,186.51,75.3,0.2876
SALE000154,2024-02-09,CUST07174,PROD020,North America,1,75.0,0.05,75.24,54.22,21.02,0.2794
SALE000155,2024-10-08,CUST08927,PROD017,North America,3,99.0,0.15,336.94,233.76,103.18,0.3062
SALE000156,2025-01-02,CUST04387,PROD016,Asia,2,29.0,0.0,65.13,38.57,26.56,0.4078
SALE000157,2025-05-06,CUST05709,PROD016,Europe,1,29.0,0.1,50.83,33.12,17.71,0.3484
SALE000158,2024-03-31,CUST08070,PROD018,Oceania,1,399.0,0.2,412.53,220.72,191.81,0.465
SALE000159,2025-05-18,CUST06369,PROD015,North America,3,699.0,0.1,1791.58,1139.86,651.72,0.3638
SALE000160,2024-04-27,CUST02941,PROD006,Oceania,10,599.0,0.15,4648.52,3138.19,1510.33,0.3249
SALE000161,2024-08-02,CUST03143,PROD005,Oceania,2,199.0,0.0,716.86,453.49,263.37,0.3674
SALE000162,2025-01-09,CUST00291,PROD010,South America,3,39.0,0.1,110.54,72.41,38.13,0.3449
SALE000163,2024-03-17,CUST08017,PROD004,North America,1,79.0,0.0,81.72,48.23,33.49,0.4098
SALE000164,2025-02-19,CUST03651,PROD011,Asia,2,129.0,0.05,316.48,185.44,131.04,0.4141
SALE000165,2024-01-29,CUST08738,PROD015,Asia,2,699.0,0.1,1217.87,822.88,394.99,0.3243
SALE000166,2024-06-03,CUST03581,PROD006,North America,1,599.0,0.0,697.26,472.43,224.83,0.3224
SALE000167,2025-02-17,CUST05165,PROD005,North America,1,199.0,0.0,202.3,145.88,56.42,0.2789
SALE000168,2024-07-17,CUST01402,PROD003,Europe,3,499.0,0.0,1741.14,871.25,869.89,0.4996
SALE000169,2024-11-12,CUST00705,PROD011,Asia,1,129.0,0.05,135.64,94.35,41.29,0.3044
SALE000170,2024-07-26,CUST06305,PROD004,North America,1,79.0,0.1,82.02,59.1,22.92,0.2794
SALE000171,2024-12-31,CUST07250,PROD019,North America,10,25.0,0.0,344.06,235.1,108.96,0.3167
SALE000172,2024-04-13,CUST03866,PROD007,Asia,1,59.0,0.05,52.64,37.82,14.82,0.2815
SALE000173,2024-04-23,CUST06331,PROD016,Asia,5,29.0,0.0,157.27,101.84,55.43,0.3525
SALE000174,2025-12-06,CUST02985,PROD009,Europe,5,549.0,0.0,3640.41,2728.58,911.83,0.2505
SALE000175,2024-08-30,CUST06917,PROD017,Asia,3,99.0,0.15,228.76,139.61,89.15,0.3897
SALE000176,2025-05-20,CUST06045,PROD001,North America,1,49.0,0.0,72.97,53.05,19.92,0.273
SALE000177,2024-01-07,CUST08488,PROD005,Europe,1,199.0,0.1,223.14,124.67,98.47,0.4413
SALE000178,2024-03-22,CUST07227,PROD010,Europe,1,39.0,0.05,38.38,20.99,17.39,0.4531
SALE000179,2025-07-29,CUST08793,PROD011,Asia,1,129.0,0.15,112.49,83.01,29.48,0.2621
SALE000180,2024-09-18,CUST09907,PROD011,North America,1,129.0,0.1,136.5,92.72,43.78,0.3207
SALE000181,2024-08-07,CUST03615,PROD014,North America,1,249.0,0.0,362.51,220.98,141.53,0.3904
SALE000182,2024-05-06,CUST08851,PROD010,Asia,1,39.0,0.0,36.25,22.3,13.95,0.3848
SALE000183,2024-07-13,CUST04540,PROD016,Asia,3,29.0,0.15,80.77,42.37,38.4,0.4754
SALE000184,2024-06-20,CUST00155,PROD012,Europe,2,449.0,0.0,1100.45,672.81,427.64,0.3886
SALE000185,2025-08-05,CUST09577,PROD019,Europe,1,25.0,0.05,24.69,17.63,7.06,0.2859
SALE000186,2025-11-17,CUST01518,PROD002,Oceania,1,149.0,0.0,141.34,83.17,58.17,0.4116
SALE000187,2024-01-26,CUST01191,PROD014,Asia,10,249.0,0.0,2373.53,1651.4,722.13,0.3042
SALE000188,2024-04-09,CUST05454,PROD018,Europe,2,399.0,0.05,818.78,579.02,239.76,0.2928
SALE000189,2025-04-03,CUST06950,PROD002,South America,1,149.0,0.05,170.59,116.9,53.69,0.3147
SALE000190,2025-10-05,CUST04634,PROD005,Asia,1,199.0,0.0,179.53,95.13,84.4,0.4701
SALE000191,2024-08-19,CUST06130,PROD005,Europe,3,199.0,0.0,582.04,399.69,182.35,0.3133
SALE000192,2025-09-07,CUST08730,PROD009,Asia,5,549.0,0.05,2461.78,1625.13,836.65,0.3399
SALE000193,2024-01-04,CUST05720,PROD011,Europe,5,129.0,0.2,546.15,365.16,180.99,0.3314
SALE000194,2025-06-27,CUST08146,PROD018,North America,2,399.0,0.0,772.11,429.04,343.07,0.4443
SALE000195,2025-11-20,CUST06003,PROD008,North America,1,179.0,0.05,215.01,138.79,76.22,0.3545
SALE000196,2024-12-29,CUST05289,PROD015,Asia,1,699.0,0.0,860.34,453.05,407.29,0.4734
SALE000197,2025-03-03,CUST05068,PROD017,Asia,1,99.0,0.15,90.13,46.95,43.18,0.4791
SALE000198,2024-07-07,CUST09491,PROD015,Asia,1,699.0,0.0,878.6,532.64,345.96,0.3938
SALE000199,2025-07-27,CUST03492,PROD019,Europe,5,25.0,0.0,269.48,186.04,83.44,0.3096
SALE000200,2025-08-30,CUST03595,PROD017,Europe,5,99.0,0.0,522.8,299.59,223.21,0.427
SALE000201,2025-09-01,CUST07884,PROD008,North America,1,179.0,0.15,163.19,106.72,56.47,0.346
SALE000202,2025-09-01,CUST06521,PROD020,Oceania,1,75.0,0.0,148.7,84.8,63.9,0.4297
SALE000203,2024-02-26,CUST01424,PROD019,Asia,2,25.0,0.0,46.98,25.15,21.83,0.4647
SALE000204,2025-01-19,CUST06961,PROD001,Asia,1,49.0,0.15,40.62,22.35,18.27,0.4498
SALE000205,2025-01-07,CUST00307,PROD020,Asia,10,75.0,0.0,684.94,472.82,212.12,0.3097
SALE000206,2024-02-04,CUST05086,PROD020,Asia,2,75.0,0.1,192.93,115.19,77.74,0.4029
SALE000207,2025-08-08,CUST03212,PROD017,North America,5,99.0,0.0,622.13,408.36,213.77,0.3436
SALE000208,2024-05-21,CUST02158,PROD019,Asia,1,25.0,0.0,42.7,27.17,15.53,0.3637
SALE000209,2024-11-06,CUST06243,PROD017,Europe,1,99.0,0.0,94.41,48.64,45.77,0.4848
SALE000210,2024-02-10,CUST01550,PROD003,Asia,2,499.0,0.05,917.14,579.1,338.04,0.3686
SALE000211,2025-07-30,CUST03597,PROD001,South America,5,49.0,0.0,232.9,168.5,64.4,0.2765
SALE000212,2024-05-11,CUST01616,PROD006,Europe,1,599.0,0.0,731.22,379.43,351.79,0.4811
SALE000213,2025-01-12,CUST01262,PROD001,Asia,1,49.0,0.0,75.79,45.54,30.25,0.3991
SALE000214,2025-01-06,CUST03880,PROD014,Asia,3,249.0,0.0,642.97,433.95,209.02,0.3251
SALE000215,2024-03-11,CUST06238,PROD018,North America,1,399.0,0.1,399.56,226.15,173.41,0.434
SALE000216,2025-09-16,CUST06712,PROD018,South America,1,399.0,0.15,398.9,228.37,170.53,0.4275
SALE000217,2024-01-05,CUST09229,PROD002,North America,1,149.0,0.0,168.0,101.09,66.91,0.3983
SALE000218,2025-04-22,CUST03101,PROD011,Oceania,3,129.0,0.0,392.08,249.64,142.44,0.3633
SALE000219,2024-05-05,CUST03571,PROD011,North America,3,129.0,0.0,540.82,318.38,222.44,0.4113
SALE000220,2025-03-15,CUST08606,PROD011,Asia,1,129.0,0.05,122.93,79.45,43.48,0.3537
SALE000221,2024-06-14,CUST01818,PROD019,Asia,1,25.0,0.1,21.8,12.27,9.53,0.4372
SALE000222,2025-06-30,CUST05960,PROD003,Asia,5,499.0,0.0,4126.0,2814.42,1311.58,0.3179
SALE000223,2025-02-16,CUST07419,PROD002,Asia,3,149.0,0.05,403.04,243.79,159.25,0.3951
SALE000224,2025-04-12,CUST04541,PROD015,Europe,2,699.0,0.0,1448.78,1108.55,340.23,0.2348
SALE000225,2025-12-22,CUST08562,PROD013,Europe,2,89.0,0.15,185.83,115.2,70.63,0.3801
SALE000226,2024-11-20,CUST03215,PROD010,Europe,5,39.0,0.0,353.84,186.12,167.72,0.474
SALE000227,2025-07-08,CUST01077,PROD004,North America,1,79.0,0.05,73.54,45.46,28.08,0.3818
SALE000228,2025-08-19,CUST01134,PROD003,North America,1,499.0,0.0,538.25,279.92,258.33,0.4799
SALE000229,2024-08-25,CUST05323,PROD013,South America,2,89.0,0.0,197.48,110.81,86.67,0.4389
SALE000230,2024-08-14,CUST05501,PROD019,Europe,1,25.0,0.0,48.17,33.96,14.21,0.295
SALE000231,2025-05-31,CUST05226,PROD019,Asia,1,25.0,0.0,26.51,17.13,9.38,0.3538
SALE000232,2025-11-09,CUST03782,PROD005,South America,3,199.0,0.05,828.65,499.34,329.31,0.3974
SALE000233,2024-01-11,CUST04681,PROD012,Oceania,1,449.0,0.05,455.85,279.46,176.39,0.3869
SALE000234,2024-03-25,CUST09629,PROD011,Oceania,2,129.0,0.1,313.65,179.87,133.78,0.4265
SALE000235,2024-05-03,CUST04739,PROD020,Europe,1,75.0,0.05,68.58,45.36,23.22,0.3386
SALE000236,2025-04-11,CUST07425,PROD017,North America,10,99.0,0.05,1263.36,639.41,623.95,0.4939
SALE000237,2024-11-03,CUST08555,PROD003,North America,2,499.0,0.1,1117.21,662.42,454.79,0.4071
SALE000238,2024-12-31,CUST01353,PROD014,Asia,3,249.0,0.0,770.39,551.53,218.86,0.2841
SALE000239,2024-08-19,CUST02481,PROD017,North America,3,99.0,0.15,287.12,176.53,110.59,0.3852
SALE000240,2024-11-07,CUST05561,PROD005,Oceania,5,199.0,0.05,1701.14,1000.13,701.01,0.4121
SALE000241,2025-07-20,CUST07498,PROD007,North America,1,59.0,0.0,76.97,46.9,30.07,0.3907
SALE000242,2024-11-10,CUST08739,PROD020,North America,10,75.0,0.0,890.81,527.3,363.51,0.4081
SALE000243,2024-10-14,CUST07248,PROD008,Europe,2,179.0,0.1,349.21,206.25,142.96,0.4094
SALE000244,2024-01-31,CUST09393,PROD002,North America,1,149.0,0.0,180.84,117.14,63.7,0.3522
SALE000245,2024-10-03,CUST09937,PROD020,Asia,2,75.0,0.05,180.2,109.45,70.75,0.3926
SALE000246,2025-07-03,CUST09316,PROD017,Oceania,3,99.0,0.0,521.35,323.03,198.32,0.3804
SALE000247,2024-04-10,CUST06166,PROD002,North America,2,149.0,0.05,271.05,156.25,114.8,0.4235
SALE000248,2024-09-14,CUST08172,PROD010,North America,2,39.0,0.0,107.07,59.84,47.23,0.4411
SALE000249,2024-07-27,CUST09547,PROD016,North America,1,29.0,0.0,32.7,18.35,14.35,0.4388
SALE000250,2024-12-14,CUST02772,PROD002,North America,5,149.0,0.1,720.94,402.94,318.0,0.4411
SALE000251,2025-08-23,CUST05577,PROD009,Oceania,2,549.0,0.0,1044.18,641.62,402.56,0.3855
SALE000252,2025-09-11,CUST06322,PROD005,Asia,2,199.0,0.05,364.32,243.05,121.27,0.3329
