customer_id,customer_name,country,region,customer_segment,signup_date,acquisition_channel
CUST00084,Customer 00084,United Kingdom,Europe,Mid-Market,2024-07-16,Referral
CUST00085,Customer 00085,France,Europe,SMB,2024-09-08,Paid Search
CUST00086,Customer 00086,Italy,Europe,Mid-Market,2025-04-21,Organic
CUST00087,Customer 00087,Canada,North America,SMB,2024-08-04,Organic
CUST00088,Customer 00088,South Korea,Asia,Mid-Market,2024-09-22,Referral
CUST00089,Customer 00089,Germany,Europe,SMB,2024-12-30,Organic
CUST00090,Customer 00090,United States,North America,SMB,2024-03-27,Paid Search
CUST00091,Customer 00091,Italy,Europe,SMB,2025-11-14,Referral
CUST00092,Customer 00092,Canada,North America,Mid-Market,2025-12-18,Referral
CUST00093,Customer 00093,South Korea,Asia,SMB,2025-06-05,Organic
CUST00094,Customer 00094,South Korea,Asia,Mid-Market,2024-03-20,Paid Search
CUST00095,Customer 00095,Japan,Asia,Mid-Market,2024-12-11,Paid Search
CUST00096,Customer 00096,Canada,North America,Enterprise,2024-09-16,Partner
CUST00097,Customer 00097,Thailand,Asia,Mid-Market,2024-05-01,Paid Search
CUST00098,Customer 00098,Spain,Europe,Mid-Market,2025-10-02,Paid Search
CUST00099,Customer 00099,Germany,Europe,Mid-Market,2024-10-30,Organic
CUST00100,Customer 00100,New Zealand,Oceania,SMB,2025-04-22,Referral
CUST00101,Customer 00101,Australia,Oceania,Mid-Market,2025-05-20,Referral
CUST00102,Customer 00102,United States,North America,SMB,2024-08-21,Referral
CUST00103,Customer 00103,South Korea,Asia,Mid-Market,2024-09-11,Referral
CUST00104,Customer 00104,Australia,Oceania,SMB,2025-12-10,Partner
CUST00105,Customer 00105,United States,North America,SMB,2025-08-25,Partner
CUST00106,Customer 00106,Mexico,North America,Mid-Market,2025-01-01,Paid Search
CUST00107,Customer 00107,Thailand,Asia,SMB,2025-01-25,Organic
CUST00108,Customer 00108,Singapore,Asia,SMB,2024-01-06,Social
CUST00109,Customer 00109,Spain,Europe,SMB,2024-05-29,Referral
CUST00110,Customer 00110,New Zealand,Oceania,Mid-Market,2024-01-05,Social
CUST00111,Customer 00111,Singapore,Asia,SMB,2025-08-12,Paid Search
CUST00112,Customer 00112,Germany,Europe,SMB,2025-11-18,Social
CUST00113,Customer 00113,South Korea,Asia,Enterprise,2024-04-28,Organic
CUST00114,Customer 00114,United States,North America,Enterprise,2024-07-24,Referral
CUST00115,Customer 00115,Spain,Europe,SMB,2024-09-14,Paid Search
CUST00116,Customer 00116,Argentina,South America,SMB,2025-08-16,Organic
CUST00117,Customer 00117,Mexico,North America,SMB,2024-10-24,Organic
CUST00118,Customer 00118,Mexico,North America,Enterprise,2024-02-01,Organic
CUST00119,Customer 00119,Singapore,Asia,SMB,2025-03-04,Organic
CUST00120,Customer 00120,Mexico,North America,SMB,2024-04-17,Social
CUST00121,Customer 00121,Mexico,North America,SMB,2025-04-16,Social
CUST00122,Customer 00122,Mexico,North America,Mid-Market,2025-09-18,Partner
CUST00123,Customer 00123,Germany,Europe,SMB,2024-02-19,Social
CUST00124,Customer 00124,Singapore,Asia,Mid-Market,2025-12-27,Partner
CUST00125,Customer 00125,Spain,Europe,SMB,2025-04-29,Social
CUST00126,Customer 00126,Thailand,Asia,Mid-Market,2024-02-07,Organic
CUST00127,Customer 00127,Singapore,Asia,Mid-Market,2024-06-09,Organic
CUST00128,Customer 00128,Germany,Europe,SMB,2024-05-02,Partner
CUST00129,Customer 00129,France,Europe,SMB,2025-10-07,Paid Search
CUST00130,Customer 00130,Canada,North America,SMB,2025-06-12,Referral
CUST00131,Customer 00131,Italy,Europe,Mid-Market,2024-09-29,Referral
CUST00132,Customer 00132,New Zealand,Oceania,SMB,2025-01-22,Paid Search
CUST00133,Customer 00133,United States,North America,Mid-Market,2024-09-11,Organic
CUST00134,Customer 00134,Japan,Asia,SMB,2024-10-23,Referral
CUST00135,Customer 00135,United States,North America,Mid-Market,2025-04-11,Paid Search
CUST00136,Customer 00136,Spain,Europe,Mid-Market,2024-05-22,Paid Search
CUST00137,Customer 00137,Australia,Oceania,SMB,2025-07-09,Referral
CUST00138,Customer 00138,Japan,Asia,SMB,2025-11-22,Paid Search
CUST00139,Customer 00139,United States,North America,Mid-Market,2025-12-13,Paid Search
CUST00140,Customer 00140,Germany,Europe,SMB,2024-05-05,Referral
CUST00141,Customer 00141,South Korea,Asia,Mid-Market,2024-10-27,Paid Search
CUST00142,Customer 00142,Singapore,Asia,Enterprise,2024-07-12,Social
CUST00143,Customer 00143,New Zealand,Oceania,SMB,2025-04-09,Paid Search
CUST00144,Customer 00144,Mexico,North America,SMB,2024-08-25,Social
CUST00145,Customer 00145,Singapore,Asia,SMB,2024-10-15,Partner
CUST00146,Customer 00146,Japan,Asia,SMB,2024-04-11,Partner
CUST00147,Customer 00147,Japan,Asia,Enterprise,2025-02-13,Partner
CUST00148,Customer 00148,Mexico,North America,Enterprise,2025-01-26,Referral
CUST00149,Customer 00149,Singapore,Asia,SMB,2025-02-07,Paid Search
CUST00150,Customer 00150,Germany,Europe,Enterprise,2024-09-06,Referral
CUST00151,Customer 00151,Chile,South America,SMB,2025-07-06,Organic
CUST00152,Customer 00152,Chile,South America,Enterprise,2025-03-20,Organic
CUST00153,Customer 00153,France,Europe,Mid-Market,2024-05-09,Organic
CUST00154,Customer 00154,Canada,North America,SMB,2024-09-25,Referral
CUST00155,Customer 00155,United Kingdom,Europe,Mid-Market,2025-04-27,Organic
CUST00156,Customer 00156,United States,North America,Mid-Market,2024-03-26,Referral
CUST00157,Customer 00157,India,Asia,SMB,2024-09-14,Organic
CUST00158,Customer 00158,Mexico,North America,SMB,2025-09-29,Organic
CUST00159,Customer 00159,Canada,North America,Mid-Market,2024-11-18,Paid Search
CUST00160,Customer 00160,Mexico,North America,SMB,2025-01-07,Partner
CUST00161,Customer 00161,France,Europe,SMB,2025-05-13,Paid Search
CUST00162,Customer 00162,New Zealand,Oceania,SMB,2024-08-23,Social
CUST00163,Customer 00163,Spain,Europe,Mid-Market,2025-08-27,Organic
CUST00164,Customer 00164,France,Europe,SMB,2024-01-12,Paid Search
CUST00165,Customer 00165,Canada,North America,SMB,2024-12-11,Organic
CUST00166,Customer 00166,India,Asia,SMB,2025-03-13,Paid Search
CUST00167,Customer 00167,Brazil,South America,SMB,2024-06-23,Organic
CUST00168,Customer 00168,Chile,South America,Mid-Market,2025-07-26,Organic
CUST00169,Customer 00169,India,Asia,SMB,2024-02-28,Referral
CUST00170,Customer 00170,New Zealand,Oceania,Mid-Market,2025-04-20,Referral
CUST00171,Customer 00171,Singapore,Asia,SMB,2025-04-07,Organic
CUST00172,Customer 00172,Mexico,North America,Mid-Market,2025-07-29,Social
CUST00173,Customer 00173,Singapore,Asia,SMB,2024-05-31,Referral
CUST00174,Customer 00174,New Zealand,Oceania,Mid-Market,2024-04-23,Paid Search
CUST00175,Customer 00175,Spain,Europe,SMB,2025-02-28,Paid Search
CUST00176,Customer 00176,Spain,Europe,Enterprise,2025-12-11,Organic
CUST00177,Customer 00177,South Korea,Asia,SMB,2025-07-27,Partner
CUST00178,Customer 00178,Australia,Oceania,SMB,2024-06-03,Paid Search
CUST00179,Customer 00179,Brazil,South America,Mid-Market,2024-10-25,Organic
CUST00180,Customer 00180,Canada,North America,SMB,2024-07-14,Organic
CUST00181,Customer 00181,Argentina,South America,SMB,2025-07-24,Organic
CUST00182,Customer 00182,Chile,South America,Mid-Market,2025-01-09,Paid Search
CUST00183,Customer 00183,Mexico,North America,Mid-Market,2024-11-15,Referral
CUST00184,Customer 00184,India,Asia,Mid-Market,2024-01-04,Social
CUST00185,Customer 00185,United States,North America,Enterprise,2025-04-08,Organic
CUST00186,Customer 00186,United States,North America,SMB,2024-11-19,Paid Search
CUST00187,Customer 00187,Singapore,Asia,SMB,2024-01-29,Organic
CUST00188,Customer 00188,Italy,Europe,Mid-Market,2024-05-23,Paid Search
CUST00189,Customer 00189,United States,North America,SMB,2025-06-15,Referral
CUST00190,Customer 00190,Thailand,Asia,SMB,2025-07-01,Social
CUST00191,Customer 00191,Australia,Oceania,SMB,2024-12-26,Referral
CUST00192,Customer 00192,Italy,Europe,SMB,2025-07-07,Organic
CUST00193,Customer 00193,Italy,Europe,SMB,2025-06-23,Partner
CUST00194,Customer 00194,Brazil,South America,SMB,2025-03-26,Partner
CUST00195,Customer 00195,Spain,Europe,Mid-Market,2024-06-01,Organic
CUST00196,Customer 00196,Spain,Europe,Mid-Market,2024-11-04,Social
CUST00197,Customer 00197,Mexico,North America,Enterprise,2025-08-19,Referral
CUST00198,Customer 00198,Brazil,South America,SMB,2024-08-14,Partner
CUST00199,Customer 00199,France,Europe,SMB,2025-04-27,Paid Search
CUST00200,Customer 00200,Japan,Asia,Mid-Market,2025-08-27,Organic
CUST00201,Customer 00201,Canada,North America,SMB,2025-01-24,Partner
CUST00202,Customer 00202,New Zealand,Oceania,SMB,2025-01-05,Paid Search
CUST00203,Customer 00203,Mexico,North America,Mid-Market,2024-05-17,Social
CUST00204,Customer 00204,Italy,Europe,Mid-Market,2024-12-28,Organic
CUST00205,Customer 00205,United Kingdom,Europe,SMB,2024-01-31,Paid Search
CUST00206,Customer 00206,Spain,Europe,Mid-Market,2024-03-23,Referral
CUST00207,Customer 00207,Spain,Europe,Mid-Market,2025-01-31,Referral
CUST00208,Customer 00208,Mexico,North America,Enterprise,2024-06-08,Paid Search
CUST00209,Customer 00209,Spain,Europe,SMB,2024-09-10,Referral
CUST00210,Customer 00210,Canada,North America,Mid-Market,2024-09-20,Referral
CUST00211,Customer 00211,United States,North America,Mid-Market,2024-12-11,Referral
CUST00212,Customer 00212,United States,North America,SMB,2025-05-25,Paid Search
CUST00213,Customer 00213,Italy,Europe,Mid-Market,2024-11-22,Referral
CUST00214,Customer 00214,Brazil,South America,Mid-Market,2025-09-09,Paid Search
CUST00215,Customer 00215,United States,North America,SMB,2024-12-18,Partner
CUST00216,Customer 00216,Mexico,North America,SMB,2025-12-26,Referral
CUST00217,Customer 00217,United Kingdom,Europe,SMB,2025-12-31,Paid Search
CUST00218,Customer 00218,Spain,Europe,Mid-Market,2024-11-08,Organic
CUST00219,Customer 00219,Australia,Oceania,SMB,2025-07-13,Organic
CUST00220,Customer 00220,Japan,Asia,SMB,2024-11-27,Paid Search
CUST00221,Customer 00221,Japan,Asia,SMB,2025-10-01,Referral
CUST00222,Customer 00222,Japan,Asia,Mid-Market,2025-07-13,Partner
CUST00223,Customer 00223,Canada,North America,Mid-Market,2024-09-04,Social
CUST00224,Customer 00224,Australia,Oceania,SMB,2024-08-22,Referral
CUST00225,Customer 00225,Thailand,Asia,SMB,2025-10-05,Referral
CUST00226,Customer 00226,Australia,Oceania,SMB,2025-01-30,Referral
CUST00227,Customer 00227,United Kingdom,Europe,SMB,2025-05-22,Paid Search
CUST00228,Customer 00228,Mexico,North America,Mid-Market,2025-05-09,Referral
CUST00229,Customer 00229,Canada,North America,SMB,2024-05-01,Paid Search
CUST00230,Customer 00230,Germany,Europe,Mid-Market,2024-06-21,Paid Search
CUST00231,Customer 00231,Germany,Europe,Mid-Market,2025-10-20,Social
CUST00232,Customer 00232,Singapore,Asia,Enterprise,2024-07-23,Referral
CUST00233,Customer 00233,New Zealand,Oceania,SMB,2025-09-26,Organic
CUST00234,Customer 00234,Mexico,North America,SMB,2024-09-17,Paid Search
CUST00235,Customer 00235,Australia,Oceania,SMB,2025-09-10,Social
CUST00236,Customer 00236,Argentina,South America,Enterprise,2025-02-26,Organic
CUST00237,Customer 00237,Japan,Asia,Mid-Market,2024-03-13,Social
CUST00238,Customer 00238,Canada,North America,Mid-Market,2024-07-16,Social
CUST00239,Customer 00239,United Kingdom,Europe,Mid-Market,2025-11-27,Referral
CUST00240,Customer 00240,France,Europe,SMB,2024-06-01,Paid Search
CUST00241,Customer 00241,Brazil,South America,Mid-Market,2024-06-15,Organic
CUST00242,Customer 00242,United States,North America,Mid-Market,2024-04-19,Organic
CUST00243,Customer 00243,United Kingdom,Europe,SMB,2025-03-21,Paid Search
CUST00244,Customer 00244,United States,North America,Enterprise,2025-08-14,Partner
CUST00245,Customer 00245,United States,North America,Enterprise,2025-11-15,Social
CUST00246,Customer 00246,Brazil,South America,Enterprise,2025-10-09,Organic
CUST00247,Customer 00247,United States,North America,Mid-Market,2025-10-08,Paid Search
CUST00248,Customer 00248,India,Asia,SMB,2025-10-23,Paid Search
CUST00249,Customer 00249,Japan,Asia,Mid-Market,2025-02-19,Paid Search
CUST00250,Customer 00250,India,Asia,SMB,2025-08-23,Paid Search
CUST00251,Customer 00251,United States,North America,Mid-Market,2025-04-08,Social
CUST00252,Customer 00252,Brazil,South America,SMB,2024-04-10,Paid Search
CUST00253,Customer 00253,Japan,Asia,Enterprise,2024-01-18,Organic
CUST00254,Customer 00254,Germany,Europe,SMB,2024-03-12,Referral
CUST00255,Customer 00255,Germany,Europe,SMB,2024-09-09,Organic
CUST00256,Customer 00256,Mexico,North America,SMB,2024-12-30,Social
CUST00257,Customer 00257,Chile,South America,Mid-Market,2025-04-11,Social
CUST00258,Customer 00258,Germany,Europe,SMB,2025-01-16,Organic
CUST00259,Customer 00259,France,Europe,SMB,2024-09-24,Referral
CUST00260,Customer 00260,Canada,North America,SMB,2025-06-19,Partner
CUST00261,Customer 00261,Spain,Europe,SMB,2025-09-21,Paid Search
CUST00262,Customer 00262,Chile,South America,Enterprise,2024-06-11,Paid Search
CUST00263,Customer 00263,South Korea,Asia,SMB,2024-07-10,Social
CUST00264,Customer 00264,Germany,Europe,SMB,2025-11-11,Organic
CUST00265,Customer 00265,Australia,Oceania,SMB,2025-12-10,Paid Search
CUST00266,Customer 00266,United Kingdom,Europe,SMB,2024-08-14,Organic
CUST00267,Customer 00267,South Korea,Asia,SMB,2025-01-07,Paid Search
CUST00268,Customer 00268,Spain,Europe,SMB,2025-02-26,Partner
CUST00269,Customer 00269,France,Europe,SMB,2025-04-09,Referral
CUST00270,Customer 00270,United Kingdom,Europe,SMB,2025-09-23,Referral
CUST00271,Customer 00271,France,Europe,SMB,2024-03-18,Organic
CUST00272,Customer 00272,France,Europe,Mid-Market,2025-01-17,Partner
CUST00273,Customer 00273,France,Europe,SMB,2024-06-07,Organic
CUST00274,Customer 00274,Mexico,North America,Mid-Market,2025-07-04,Paid Search
CUST00275,Customer 00275,Canada,North America,Mid-Market,2025-03-12,Organic
CUST00276,Customer 00276,South Korea,Asia,Enterprise,2025-07-01,Paid Search
CUST00277,Customer 00277,South Korea,Asia,SMB,2025-10-23,Referral
CUST00278,Customer 00278,Canada,North America,Mid-Market,2025-07-31,Paid Search
CUST00279,Customer 00279,Chile,South America,Enterprise,2025-09-16,Paid Search
CUST00280,Customer 00280,Brazil,South America,Enterprise,2025-08-15,Paid Search
CUST00281,Customer 00281,Spain,Europe,Mid-Market,2025-04-02,Referral
CUST00282,Customer 00282,Germany,Europe,SMB,2024-10-13,Paid Search
CUST00283,Customer 00283,France,Europe,Enterprise,2024-09-02,Partner
CUST00284,Customer 00284,Spain,Europe,Mid-Market,2024-09-22,Organic
CUST00285,Customer 00285,Mexico,North America,SMB,2025-03-20,Organic
CUST00286,Customer 00286,Japan,Asia,SMB,2025-08-10,Organic
CUST00287,Customer 00287,Spain,Europe,Enterprise,2024-09-25,Organic
CUST00288,Customer 00288,India,Asia,SMB,2025-02-27,Paid Search
CUST00289,Customer 00289,Mexico,North America,Mid-Market,2024-10-29,Organic
CUST00290,Customer 00290,United Kingdom,Europe,SMB,2025-03-20,Organic
CUST00291,Customer 00291,Brazil,South America,Mid-Market,2025-08-21,Organic
CUST00292,Customer 00292,Spain,Europe,SMB,2024-10-28,Paid Search
CUST00293,Customer 00293,New Zealand,Oceania,Mid-Market,2024-10-17,Referral
CUST00294,Customer 00294,Germany,Europe,SMB,2024-05-27,Paid Search
CUST00295,Customer 00295,Brazil,South America,Enterprise,2024-12-30,Social
CUST00296,Customer 00296,Australia,Oceania,SMB,2024-11-30,Organic
CUST00297,Customer 00297,Australia,Oceania,SMB,2024-04-27,Paid Search
CUST00298,Customer 00298,Argentina,South America,SMB,2025-12-09,Organic
CUST00299,Customer 00299,Mexico,North America,SMB,2025-09-20,Partner
CUST00300,Customer 00300,Mexico,North America,Enterprise,2024-07-31,Organic
CUST00301,Customer 00301,United States,North America,SMB,2025-11-21,Social
CUST00302,Customer 00302,United Kingdom,Europe,SMB,2024-07-17,Referral
CUST00303,Customer 00303,Mexico,North America,Mid-Market,2024-11-02,Referral
CUST00304,Customer 00304,Mexico,North America,SMB,2024-04-05,Paid Search
CUST00305,Customer 00305,Brazil,South America,SMB,2025-03-23,Paid Search
CUST00306,Customer 00306,India,Asia,Mid-Market,2024-12-17,Organic
CUST00307,Customer 00307,India,Asia,SMB,2024-07-14,Social
CUST00308,Customer 00308,Canada,North America,Mid-Market,2024-07-29,Partner
CUST00309,Customer 00309,Singapore,Asia,Mid-Market,2025-11-14,Organic
CUST00310,Customer 00310,France,Europe,SMB,2025-05-17,Organic
CUST00311,Customer 00311,India,Asia,Mid-Market,2024-04-21,Paid Search
CUST00312,Customer 00312,Japan,Asia,Enterprise,2024-04-08,Partner
CUST00313,Customer 00313,France,Europe,SMB,2024-02-21,Paid Search
CUST00314,Customer 00314,Singapore,Asia,Mid-Market,2024-06-29,Referral
CUST00315,Customer 00315,India,Asia,SMB,2025-06-23,Organic
CUST00316,Customer 00316,South Korea,Asia,SMB,2024-02-15,Social
CUST00317,Customer 00317,Singapore,Asia,Mid-Market,2024-07-01,Organic
CUST00318,Customer 00318,United States,North America,SMB,2024-01-31,Paid Search
CUST00319,Customer 00319,Thailand,Asia,SMB,2025-04-19,Social
CUST00320,Customer 00320,New Zealand,Oceania,SMB,2025-08-18,Referral
CUST00321,Customer 00321,Australia,Oceania,Mid-Market,2025-01-21,Paid Search
CUST00322,Customer 00322,India,Asia,Mid-Market,2025-10-24,Partner
CUST00323,Customer 00323,India,Asia,SMB,2025-05-18,Organic
CUST00324,Customer 00324,Canada,North America,SMB,2025-07-12,Organic
CUST00325,Customer 00325,Argentina,South America,Enterprise,2024-08-17,Organic
CUST00326,Customer 00326,Canada,North America,SMB,2025-09-24,Organic
CUST00327,Customer 00327,Argentina,South America,SMB,2025-04-06,Referral
CUST00328,Customer 00328,Canada,North America,SMB,2024-03-04,Paid Search
CUST00329,Customer 00329,United States,North America,Mid-Market,2024-03-01,Paid Search
CUST00330,Customer 00330,India,Asia,SMB,2025-10-18,Partner
CUST00331,Customer 00331,Mexico,North America,Mid-Market,2024-07-20,Paid Search
CUST00332,Customer 00332,Spain,Europe,Mid-Market,2024-12-06,Organic
CUST00333,Customer 00333,Mexico,North America,SMB,2025-07-09,Paid Search
CUST00334,Customer 00334,Chile,South America,Mid-Market,2025-07-15,Partner
CUST00335,Customer 00335,United Kingdom,Europe,SMB,2024-01-20,Paid Search
CUST00336,Customer 00336,Mexico,North America,SMB,2025-03-26,Social
CUST00337,Customer 00337,Spain,Europe,Mid-Market,2025-10-29,Partner
CUST00338,Customer 00338,Mexico,North America,SMB,2024-09-12,Partner
CUST00339,Customer 00339,Germany,Europe,Enterprise,2025-01-31,Partner
CUST00340,Customer 00340,Australia,Oceania,Mid-Market,2024-07-12,Referral
CUST00341,Customer 00341,United Kingdom,Europe,SMB,2025-06-11,Social
CUST00342,Customer 00342,New Zealand,Oceania,Enterprise,2024-03-27,Referral
CUST00343,Customer 00343,Chile,South America,SMB,2025-01-14,Paid Search
CUST00344,Customer 00344,United States,North America,SMB,2024-10-28,Organic
CUST00345,Customer 00345,Mexico,North America,SMB,2025-04-13,Partner
CUST00346,Customer 00346,Mexico,North America,Enterprise,2024-12-27,Paid Search
CUST00347,Customer 00347,New Zealand,Oceania,SMB,2025-12-18,Partner
CUST00348,Customer 00348,India,Asia,SMB,2025-12-19,Social
CUST00349,Customer 00349,United States,North America,SMB,2024-07-26,Paid Search
CUST00350,Customer 00350,France,Europe,SMB,2024-01-28,Paid Search
CUST00351,Customer 00351,Mexico,North America,SMB,2024-12-26,Organic
CUST00352,Customer 00352,Italy,Europe,Mid-Market,2025-03-07,Paid Search
CUST00353,Customer 00353,Canada,North America,Enterprise,2025-07-03,Referral
CUST00354,Customer 00354,United States,North America,Mid-Market,2025-01-18,Paid Search
CUST00355,Customer 00355,Singapore,Asia,SMB,2025-03-04,Paid Search
CUST00356,Customer 00356,Mexico,North America,SMB,2024-01-17,Paid Search
CUST00357,Customer 00357,Canada,North America,SMB,2025-07-11,Organic
CUST00358,Customer 00358,United States,North America,SMB,2024-08-29,Organic
CUST00359,Customer 00359,Singapore,Asia,Mid-Market,2024-10-08,Organic
CUST00360,Customer 00360,Canada,North America,SMB,2024-11-05,Partner
CUST00361,Customer 00361,New Zealand,Oceania,Mid-Market,2024-02-22,Organic
CUST00362,Customer 00362,Spain,Europe,SMB,2024-12-27,Organic
CUST00363,Customer 00363,France,Europe,Mid-Market,2024-10-05,Paid Search
CUST00364,Customer 00364,Italy,Europe,Enterprise,2024-06-19,Referral
CUST00365,Customer 00365,Mexico,North America,Mid-Market,2024-06-28,Partner
CUST00366,Customer 00366,Japan,Asia,Enterprise,2024-01-25,Paid Search
CUST00367,Customer 00367,United States,North America,Mid-Market,2025-10-10,Referral
CUST00368,Customer 00368,United States,North America,Mid-Market,2024-08-02,Referral
CUST00369,Customer 00369,Japan,Asia,SMB,2025-10-01,Partner
CUST00370,Customer 00370,Brazil,South America,SMB,2025-09-03,Referral
