customer_id,purchase_count,last_purchase_date,churn_status
CUST00100,5,2025-07-28,Churned
CUST00101,2,2025-11-11,Active
CUST00102,3,2025-09-21,Churned
CUST00103,5,2025-05-04,Churned
CUST00104,3,2025-12-28,Active
CUST00105,4,2025-10-24,Active
CUST00106,8,2025-11-13,Active
CUST00107,8,2025-08-15,Churned
CUST00108,4,2025-07-24,Churned
CUST00109,3,2025-12-01,Active
CUST00110,4,2025-10-23,Active
CUST00111,4,2025-09-15,Churned
CUST00112,3,2025-04-18,Churned
CUST00113,5,2025-12-28,Active
CUST00114,2,2025-04-19,Churned
CUST00115,4,2025-12-27,Active
CUST00116,4,2025-07-25,Churned
CUST00117,5,2025-12-14,Active
CUST00118,3,2025-09-07,Churned
CUST00119,6,2025-09-05,Churned
CUST00120,3,2025-09-02,Churned
CUST00121,1,2024-12-29,Churned
CUST00122,2,2024-10-26,Churned
CUST00123,3,2025-09-13,Churned
CUST00124,3,2024-11-20,Churned
CUST00125,5,2025-11-21,Active
CUST00126,4,2025-09-17,Churned
CUST00127,4,2025-03-08,Churned
CUST00128,6,2025-01-07,Churned
CUST00129,3,2025-06-18,Churned
CUST00130,3,2025-11-23,Active
CUST00131,3,2025-07-30,Churned
CUST00132,6,2025-09-07,Churned
CUST00133,4,2025-07-09,Churned
CUST00134,4,2025-11-19,Active
CUST00135,5,2025-12-29,Active
CUST00136,10,2025-12-01,Active
CUST00137,4,2025-09-12,Churned
CUST00138,6,2025-11-06,Active
CUST00139,6,2025-07-13,Churned
CUST00140,9,2025-11-01,Active
CUST00141,2,2024-06-24,Churned
CUST00142,3,2025-12-02,Active
CUST00143,8,2025-11-14,Active
CUST00144,7,2025-11-26,Active
CUST00145,1,2025-02-15,Churned
CUST00146,3,2025-03-20,Churned
CUST00147,4,2025-07-13,Churned
CUST00148,5,2025-09-25,Churned
CUST00149,4,2025-07-10,Churned
CUST00150,5,2025-12-23,Active
CUST00151,5,2025-11-01,Active
CUST00152,5,2025-12-16,Active
CUST00153,6,2025-09-24,Churned
CUST00154,6,2025-03-23,Churned
CUST00155,7,2025-05-21,Churned
CUST00156,3,2025-07-17,Churned
CUST00157,2,2024-07-28,Churned
CUST00158,4,2025-02-01,Churned
CUST00159,2,2025-07-10,Churned
CUST00160,4,2025-11-04,Active
CUST00161,9,2025-10-22,Active
CUST00162,3,2025-09-18,Churned
CUST00163,5,2024-10-26,Churned
CUST00164,4,2025-12-10,Active
CUST00165,7,2025-08-30,Churned
CUST00166,3,2025-11-14,Active
CUST00167,3,2025-08-21,Churned
CUST00168,7,2025-12-27,Active
CUST00169,4,2024-11-17,Churned
CUST00170,5,2025-09-30,Churned
CUST00171,5,2025-12-06,Active
CUST00172,5,2025-09-28,Churned
CUST00173,7,2025-08-21,Churned
CUST00174,4,2025-10-14,Active
CUST00175,2,2024-12-20,Churned
CUST00176,7,2025-11-29,Active
CUST00177,4,2025-06-16,Churned
CUST00178,3,2025-03-26,Churned
CUST00179,5,2025-05-18,Churned
CUST00180,8,2025-07-18,Churned
CUST00181,2,2025-09-14,Churned
CUST00182,5,2025-05-17,Churned
CUST00183,5,2025-10-11,Active
CUST00184,9,2025-10-06,Active
CUST00185,5,2025-11-24,Active
CUST00186,2,2025-03-29,Churned
CUST00187,1,2025-08-25,Churned
CUST00188,2,2025-10-25,Active
CUST00189,4,2025-10-07,Active
CUST00190,2,2024-09-03,Churned
CUST00191,5,2025-08-19,Churned
CUST00192,5,2025-07-09,Churned
CUST00193,5,2025-12-11,Active
CUST00194,3,2025-10-12,Active
CUST00195,3,2025-08-09,Churned
CUST00196,5,2025-12-03,Active
CUST00197,4,2025-10-12,Active
CUST00198,5,2025-09-06,Churned
CUST00199,4,2025-10-09,Active
CUST00200,7,2025-08-28,Churned
CUST00201,3,2025-06-23,Churned
CUST00202,3,2025-12-20,Active
CUST00203,6,2025-09-21,Churned
CUST00204,7,2025-11-10,Active
CUST00205,7,2025-08-13,Churned
CUST00206,6,2025-11-14,Active
CUST00207,4,2025-09-07,Churned
CUST00208,4,2025-05-01,Churned
CUST00209,6,2025-10-04,Active
CUST00210,13,2025-10-20,Active
CUST00211,7,2025-10-08,Active
CUST00212,1,2024-03-10,Churned
CUST00213,5,2025-12-22,Active
CUST00214,2,2025-12-09,Active
CUST00215,5,2025-11-03,Active
CUST00216,5,2025-09-16,Churned
CUST00217,8,2025-12-20,Active
CUST00218,3,2025-08-16,Churned
CUST00219,10,2025-09-21,Churned
CUST00220,7,2025-09-05,Churned
CUST00221,5,2025-10-31,Active
CUST00222,3,2025-10-20,Active
CUST00223,5,2025-12-12,Active
CUST00224,6,2025-11-19,Active
CUST00225,0,,Active
CUST00226,4,2025-08-05,Churned
CUST00227,4,2025-03-23,Churned
CUST00228,5,2025-12-21,Active
CUST00229,4,2025-05-21,Churned
CUST00230,2,2025-09-15,Churned
CUST00231,4,2025-09-25,Churned
CUST00232,7,2025-06-28,Churned
CUST00233,6,2025-12-17,Active
CUST00234,4,2025-11-02,Active
CUST00235,4,2025-11-28,Active
CUST00236,3,2025-06-29,Churned
CUST00237,4,2025-10-22,Active
CUST00238,7,2025-12-03,Active
CUST00239,8,2025-09-27,Churned
CUST00240,6,2025-11-06,Active
CUST00241,7,2025-08-03,Churned
CUST00242,6,2025-08-29,Churned
CUST00243,5,2025-08-20,Churned
CUST00244,3,2025-07-09,Churned
CUST00245,3,2025-04-26,Churned
CUST00246,5,2025-08-24,Churned
CUST00247,3,2025-11-03,Active
CUST00248,6,2025-12-19,Active
CUST00249,6,2025-12-05,Active
CUST00250,1,2025-06-28,Churned
CUST00251,7,2025-08-05,Churned
CUST00252,3,2025-10-27,Active
CUST00253,6,2025-10-06,Active
CUST00254,4,2025-10-08,Active
CUST00255,7,2025-10-10,Active
CUST00256,4,2025-12-19,Active
CUST00257,1,2024-03-20,Churned
CUST00258,4,2025-08-07,Churned
CUST00259,11,2025-12-05,Active
CUST00260,6,2025-09-27,Churned
CUST00261,2,2025-04-12,Churned
CUST00262,5,2025-04-30,Churned
CUST00263,6,2025-09-29,Churned
CUST00264,6,2025-08-18,Churned
CUST00265,3,2025-03-16,Churned
CUST00266,2,2025-11-06,Active
CUST00267,4,2025-12-23,Active
CUST00268,1,2024-07-25,Churned
CUST00269,2,2025-07-08,Churned
CUST00270,6,2025-09-16,Churned
CUST00271,3,2024-10-03,Churned
CUST00272,3,2024-12-26,Churned
CUST00273,3,2025-03-14,Churned
CUST00274,7,2025-09-18,Churned
CUST00275,4,2025-12-28,Active
CUST00276,7,2025-03-29,Churned
CUST00277,5,2025-10-23,Active
CUST00278,7,2025-07-22,Churned
CUST00279,6,2025-11-26,Active
CUST00280,5,2025-12-25,Active
CUST00281,2,2025-09-04,Churned
CUST00282,5,2025-12-30,Active
CUST00283,10,2025-10-12,Active
CUST00284,3,2025-11-03,Active
CUST00285,0,,Active
CUST00286,8,2025-11-12,Active
CUST00287,3,2025-08-02,Churned
CUST00288,2,2025-05-21,Churned
CUST00289,3,2025-12-28,Active
CUST00290,5,2025-09-12,Churned
CUST00291,4,2025-12-25,Active
CUST00292,4,2025-11-16,Active
CUST00293,3,2024-07-09,Churned
CUST00294,4,2025-02-11,Churned
CUST00295,3,2025-06-26,Churned
CUST00296,3,2025-08-31,Churned
CUST00297,5,2025-12-17,Active
CUST00298,7,2025-10-03,Active
CUST00299,2,2025-05-18,Churned
CUST00300,6,2025-09-20,Churned
CUST00301,3,2025-04-30,Churned
CUST00302,3,2025-04-22,Churned
CUST00303,5,2025-09-19,Churned
CUST00304,7,2025-08-02,Churned
CUST00305,3,2025-12-01,Active
CUST00306,7,2025-09-16,Churned
CUST00307,5,2025-09-30,Churned
CUST00308,9,2025-09-15,Churned
CUST00309,5,2025-12-28,Active
CUST00310,6,2025-09-24,Churned
CUST00311,2,2025-06-30,Churned
CUST00312,2,2024-08-05,Churned
CUST00313,2,2025-03-07,Churned
CUST00314,3,2024-12-25,Churned
CUST00315,4,2025-12-31,Active
CUST00316,11,2025-11-04,Active
CUST00317,6,2025-10-17,Active
CUST00318,7,2025-08-19,Churned
CUST00319,3,2025-03-23,Churned
CUST00320,4,2025-10-25,Active
CUST00321,2,2024-11-23,Churned
CUST00322,6,2025-09-15,Churned
CUST00323,6,2025-08-27,Churned
CUST00324,7,2025-12-31,Active
CUST00325,8,2025-06-27,Churned
CUST00326,4,2025-11-09,Active
CUST00327,7,2025-11-26,Active
CUST00328,5,2025-06-20,Churned
CUST00329,6,2025-12-16,Active
CUST00330,7,2025-12-27,Active
CUST00331,6,2025-06-12,Churned
CUST00332,6,2025-08-17,Churned
CUST00333,2,2025-12-16,Active
CUST00334,4,2025-10-01,Churned
CUST00335,4,2025-12-10,Active
CUST00336,3,2025-12-11,Active
CUST00337,4,2025-08-09,Churned
CUST00338,5,2025-02-20,Churned
CUST00339,3,2025-11-27,Active
CUST00340,5,2025-12-29,Active
CUST00341,7,2025-05-28,Churned
CUST00342,6,2025-01-15,Churned
CUST00343,7,2025-06-16,Churned
CUST00344,4,2025-12-31,Active
CUST00345,6,2025-11-17,Active
CUST00346,6,2025-06-22,Churned
CUST00347,4,2025-09-19,Churned
CUST00348,7,2025-12-10,Active
CUST00349,7,2025-12-13,Active
CUST00350,5,2025-05-19,Churned
CUST00351,9,2025-10-04,Active
CUST00352,6,2025-08-12,Churned
CUST00353,10,2025-09-16,Churned
CUST00354,2,2025-09-21,Churned
CUST00355,8,2025-11-18,Active
CUST00356,4,2025-08-24,Churned
CUST00357,6,2025-12-15,Active
CUST00358,5,2025-12-24,Active
CUST00359,4,2025-03-13,Churned
CUST00360,5,2025-11-09,Active
CUST00361,5,2025-12-01,Active
CUST00362,6,2025-04-03,Churned
CUST00363,2,2025-12-20,Active
CUST00364,1,2025-02-19,Churned
CUST00365,6,2025-10-13,Active
CUST00366,2,2024-04-19,Churned
CUST00367,8,2025-12-24,Active
CUST00368,5,2025-07-24,Churned
CUST00369,8,2025-12-25,Active
CUST00370,5,2025-08-25,Churned
CUST00371,7,2025-07-28,Churned
CUST00372,4,2025-03-30,Churned
CUST00373,9,2025-12-27,Active
CUST00374,5,2025-06-12,Churned
CUST00375,2,2025-12-23,Active
CUST00376,2,2025-11-14,Active
CUST00377,5,2025-11-11,Active
CUST00378,6,2025-12-16,Active
CUST00379,5,2024-11-21,Churned
CUST00380,4,2025-12-16,Active
CUST00381,7,2025-11-08,Active
CUST00382,9,2025-12-30,Active
CUST00383,3,2025-10-18,Active
CUST00384,5,2025-12-17,Active
CUST00385,5,2025-08-29,Churned
CUST00386,6,2025-12-24,Active
CUST00387,3,2025-05-14,Churned
CUST00388,6,2025-05-15,Churned
CUST00389,7,2025-11-19,Active
CUST00390,6,2025-10-19,Active
CUST00391,3,2025-09-13,Churned
CUST00392,0,,Active
CUST00393,3,2025-04-29,Churned
CUST00394,6,2025-12-31,Active
CUST00395,5,2025-06-10,Churned
CUST00396,6,2025-05-13,Churned
CUST00397,4,2025-01-18,Churned
CUST00398,2,2024-06-25,Churned
CUST00399,5,2025-05-28,Churned
CUST00400,6,2025-09-13,Churned
CUST00401,2,2025-12-20,Active
CUST00402,4,2025-12-28,Active
CUST00403,4,2025-11-27,Active
CUST00404,5,2025-12-05,Active
CUST00405,6,2025-12-19,Active
CUST00406,8,2025-10-12,Active
CUST00407,3,2025-04-14,Churned
CUST00408,5,2025-12-25,Active
CUST00409,6,2025-10-25,Active
CUST00410,8,2025-11-20,Active
CUST00411,3,2025-07-16,Churned
CUST00412,2,2025-11-14,Active
CUST00413,6,2025-07-23,Churned
CUST00414,5,2025-11-28,Active
CUST00415,6,2025-09-25,Churned
CUST00416,6,2025-09-14,Churned
CUST00417,6,2025-10-03,Active
CUST00418,4,2025-03-18,Churned
CUST00419,3,2025-04-12,Churned
CUST00420,4,2025-04-04,Churned
CUST00421,4,2025-08-30,Churned
CUST00422,7,2025-09-10,Churned
CUST00423,9,2025-05-15,Churned
CUST00424,6,2025-12-20,Active
CUST00425,3,2025-02-14,Churned
CUST00426,5,2024-12-18,Churned
CUST00427,8,2025-12-09,Active
CUST00428,10,2025-11-09,Active
CUST00429,3,2025-09-26,Churned
CUST00430,4,2025-04-25,Churned
CUST00431,3,2024-11-12,Churned
CUST00432,4,2025-07-27,Churned
CUST00433,2,2025-03-15,Churned
CUST00434,6,2025-10-14,Active
CUST00435,4,2025-09-20,Churned
CUST00436,4,2025-03-04,Churned
CUST00437,4,2025-06-27,Churned
CUST00438,4,2025-09-19,Churned
CUST00439,2,2025-04-16,Churned
CUST00440,6,2025-11-20,Active
CUST00441,7,2025-07-10,Churned
CUST00442,9,2025-12-15,Active
CUST00443,3,2025-03-31,Churned
CUST00444,5,2025-09-01,Churned
CUST00445,5,2025-06-27,Churned
CUST00446,2,2025-12-30,Active
CUST00447,3,2025-03-11,Churned
CUST00448,10,2025-12-21,Active
CUST00449,4,2025-07-11,Churned
CUST00450,5,2025-12-23,Active
CUST00451,6,2025-06-15,Churned
CUST00452,4,2025-11-12,Active
CUST00453,5,2025-06-11,Churned
CUST00454,9,2025-09-26,Churned
CUST00455,3,2025-04-07,Churned
CUST00456,6,2025-11-28,Active
CUST00457,7,2025-06-01,Churned
CUST00458,9,2025-12-09,Active
CUST00459,3,2025-12-15,Active
CUST00460,4,2025-04-18,Churned
CUST00461,2,2025-03-10,Churned
CUST00462,6,2025-03-04,Churned
CUST00463,2,2025-01-29,Churned
CUST00464,5,2025-07-20,Churned
CUST00465,8,2025-12-24,Active
CUST00466,3,2025-12-27,Active
CUST00467,4,2025-10-14,Active
CUST00468,4,2025-08-15,Churned
CUST00469,5,2025-05-28,Churned
CUST00470,6,2025-02-11,Churned
CUST00471,6,2025-11-03,Active
CUST00472,5,2025-05-30,Churned
CUST00473,4,2025-12-01,Active
CUST00474,3,2025-06-10,Churned
CUST00475,5,2025-11-24,Active
CUST00476,7,2025-11-25,Active
CUST00477,4,2025-02-06,Churned
CUST00478,4,2025-10-04,Active
CUST00479,7,2025-09-12,Churned
CUST00480,7,2025-03-31,Churned
CUST00481,1,2024-07-02,Churned
CUST00482,1,2025-11-29,Active
CUST00483,6,2025-11-10,Active
CUST00484,3,2025-11-30,Active
CUST00485,1,2025-06-23,Churned
CUST00486,9,2025-08-31,Churned
CUST00487,6,2025-05-30,Churned
CUST00488,9,2025-10-14,Active
CUST00489,7,2025-10-22,Active
CUST00490,4,2024-12-20,Churned
CUST00491,9,2025-12-08,Active
CUST00492,1,2024-03-14,Churned
CUST00493,3,2025-10-20,Active
CUST00494,8,2025-12-26,Active
CUST00495,4,2025-06-18,Churned
CUST00496,6,2025-05-07,Churned
CUST00497,4,2025-08-27,Churned
CUST00498,2,2025-05-15,Churned
CUST00499,5,2025-11-09,Active
CUST00500,6,2025-12-11,Active
CUST00501,5,2025-12-30,Active
CUST00502,8,2025-09-26,Churned
CUST00503,6,2025-10-21,Active
CUST00504,3,2025-08-26,Churned
CUST00505,5,2025-11-29,Active
CUST00506,6,2025-11-07,Active
CUST00507,3,2024-12-16,Churned
CUST00508,11,2025-08-28,Churned
CUST00509,4,2025-10-22,Active
CUST00510,10,2025-12-19,Active
CUST00511,8,2025-08-02,Churned
CUST00512,4,2025-04-19,Churned
CUST00513,2,2024-07-29,Churned
CUST00514,1,2024-04-21,Churned
CUST00515,7,2025-08-19,Churned
CUST00516,9,2025-12-29,Active
CUST00517,5,2025-11-04,Active
CUST00518,5,2025-12-23,Active
CUST00519,8,2025-07-06,Churned
CUST00520,2,2025-08-09,Churned
CUST00521,6,2025-12-28,Active
CUST00522,3,2025-09-21,Churned
CUST00523,7,2025-04-15,Churned
CUST00524,6,2025-12-16,Active
CUST00525,3,2025-10-27,Active
CUST00526,2,2025-12-25,Active
CUST00527,4,2025-11-09,Active
CUST00528,6,2025-11-07,Active
CUST00529,6,2025-08-25,Churned
CUST00530,8,2025-12-12,Active
CUST00531,5,2025-12-15,Active
CUST00532,5,2025-03-28,Churned
CUST00533,3,2025-01-14,Churned
CUST00534,4,2025-11-04,Active
CUST00535,4,2025-02-24,Churned
CUST00536,6,2025-12-08,Active
CUST00537,6,2025-12-08,Active
CUST00538,7,2025-07-18,Churned
CUST00539,5,2025-09-16,Churned
CUST00540,9,2025-10-29,Active
CUST00541,6,2025-09-23,Churned
CUST00542,4,2025-12-18,Active
CUST00543,5,2025-07-11,Churned
CUST00544,6,2025-05-25,Churned
CUST00545,5,2025-10-23,Active
CUST00546,10,2025-12-06,Active
CUST00547,7,2025-12-31,Active
CUST00548,2,2025-05-24,Churned
CUST00549,1,2024-09-04,Churned
CUST00550,5,2025-09-22,Churned
CUST00551,11,2025-08-04,Churned
CUST00552,5,2025-08-13,Churned
CUST00553,2,2024-06-27,Churned
CUST00554,1,2025-03-23,Churned
CUST00555,8,2025-10-30,Active
CUST00556,5,2025-12-27,Active
CUST00557,3,2025-03-13,Churned
CUST00558,4,2025-04-12,Churned
CUST00559,6,2025-12-14,Active
CUST00560,10,2025-01-28,Churned
CUST00561,5,2025-07-01,Churned
CUST00562,3,2025-11-06,Active
CUST00563,4,2025-07-12,Churned
CUST00564,8,2025-12-22,Active
CUST00565,3,2025-08-01,Churned
CUST00566,5,2025-10-28,Active
CUST00567,2,2025-12-01,Active
CUST00568,5,2025-12-04,Active
CUST00569,0,,Active
CUST00570,5,2025-08-22,Churned
CUST00571,7,2025-11-30,Active
CUST00572,6,2025-02-19,Churned
CUST00573,5,2024-11-06,Churned
CUST00574,6,2025-10-17,Active
CUST00575,8,2025-12-16,Active
CUST00576,6,2025-03-06,Churned
CUST00577,2,2025-08-27,Churned
CUST00578,7,2025-12-23,Active
CUST00579,5,2025-12-23,Active
CUST00580,2,2024-10-31,Churned
CUST00581,9,2025-12-01,Active
CUST00582,10,2025-08-23,Churned
CUST00583,3,2024-11-18,Churned
CUST00584,3,2025-12-16,Active
CUST00585,6,2025-12-16,Active
CUST00586,7,2025-11-15,Active
CUST00587,6,2025-10-30,Active
CUST00588,8,2025-11-22,Active
CUST00589,5,2025-05-30,Churned
CUST00590,4,2025-11-29,Active
CUST00591,2,2025-04-24,Churned
CUST00592,7,2025-10-15,Active
CUST00593,4,2025-01-19,Churned
CUST00594,5,2025-07-27,Churned
CUST00595,3,2025-05-19,Churned
CUST00596,5,2025-12-31,Active
CUST00597,6,2025-10-22,Active
CUST00598,5,2025-12-10,Active
CUST00599,5,2025-11-24,Active
CUST00600,5,2025-06-25,Churned
CUST00601,6,2025-04-20,Churned
CUST00602,8,2025-12-01,Active
CUST00603,2,2024-11-13,Churned
CUST00604,4,2025-02-13,Churned
CUST00605,3,2025-12-12,Active
CUST00606,4,2024-12-27,Churned
CUST00607,4,2025-07-14,Churned
CUST00608,4,2025-09-20,Churned
CUST00609,4,2025-07-14,Churned
CUST00610,2,2025-07-18,Churned
CUST00611,11,2025-10-22,Active
CUST00612,4,2025-03-02,Churned
CUST00613,5,2025-06-13,Churned
CUST00614,3,2025-11-20,Active
CUST00615,3,2025-05-18,Churned
CUST00616,6,2025-08-07,Churned
CUST00617,2,2024-07-27,Churned
CUST00618,6,2025-11-02,Active
CUST00619,10,2025-11-02,Active
CUST00620,2,2025-05-10,Churned
CUST00621,3,2025-12-30,Active
CUST00622,4,2025-05-31,Churned
CUST00623,1,2024-03-22,Churned
CUST00624,6,2025-09-15,Churned
CUST00625,4,2024-12-22,Churned
CUST00626,4,2025-06-27,Churned
CUST00627,5,2025-12-18,Active
CUST00628,9,2025-10-11,Active
CUST00629,5,2025-12-15,Active
CUST00630,8,2025-08-17,Churned
CUST00631,6,2025-10-26,Active
CUST00632,6,2024-12-12,Churned
CUST00633,7,2025-10-10,Active
CUST00634,4,2025-03-22,Churned
CUST00635,1,2025-11-28,Active
CUST00636,3,2025-10-17,Active
CUST00637,5,2025-04-28,Churned
CUST00638,7,2025-12-19,Active
CUST00639,4,2025-11-21,Active
CUST00640,6,2025-12-30,Active
CUST00641,4,2025-06-27,Churned
CUST00642,5,2025-09-05,Churned
CUST00643,5,2025-02-04,Churned
CUST00644,5,2025-09-11,Churned
CUST00645,4,2025-12-11,Active
CUST00646,8,2025-07-10,Churned
CUST00647,2,2024-12-09,Churned
CUST00648,3,2025-08-16,Churned
CUST00649,2,2024-05-17,Churned
CUST00650,7,2025-11-04,Active
CUST00651,4,2025-07-15,Churned
CUST00652,2,2025-04-06,Churned
CUST00653,5,2025-08-26,Churned
CUST00654,6,2025-12-06,Active
CUST00655,4,2025-05-12,Churned
CUST00656,7,2025-10-08,Active
CUST00657,6,2025-10-23,Active
CUST00658,2,2025-11-03,Active
CUST00659,3,2024-08-06,Churned
CUST00660,3,2025-12-06,Active
CUST00661,7,2025-08-28,Churned
CUST00662,6,2025-12-14,Active
CUST00663,4,2025-08-22,Churned
CUST00664,5,2025-06-07,Churned
CUST00665,5,2025-12-23,Active
CUST00666,0,,Active
CUST00667,6,2025-10-30,Active
CUST00668,4,2025-08-08,Churned
CUST00669,9,2025-08-12,Churned
CUST00670,3,2025-06-22,Churned
CUST00671,7,2025-10-09,Active
CUST00672,3,2025-01-24,Churned
CUST00673,6,2025-11-23,Active
CUST00674,7,2025-07-30,Churned
CUST00675,2,2025-09-14,Churned
CUST00676,3,2025-07-02,Churned
CUST00677,8,2025-09-30,Churned
CUST00678,4,2025-11-13,Active
CUST00679,5,2025-07-18,Churned
CUST00680,7,2025-03-17,Churned
CUST00681,6,2025-04-06,Churned
CUST00682,4,2025-10-12,Active
CUST00683,8,2025-11-11,Active
CUST00684,2,2025-11-10,Active
CUST00685,4,2025-08-18,Churned
CUST00686,9,2025-12-04,Active
CUST00687,3,2025-10-30,Active
CUST00688,4,2025-08-28,Churned
CUST00689,5,2025-12-13,Active
CUST00690,7,2025-12-20,Active
CUST00691,7,2025-11-08,Active
CUST00692,6,2025-06-28,Churned
CUST00693,6,2025-09-07,Churned
CUST00694,4,2025-12-01,Active
CUST00695,6,2025-07-18,Churned
CUST00696,3,2025-11-28,Active
CUST00697,4,2025-10-01,Churned
CUST00698,6,2025-07-27,Churned
CUST00699,6,2025-11-23,Active
CUST00700,1,2024-10-16,Churned
CUST00701,3,2025-05-17,Churned
CUST00702,4,2025-06-18,Churned
CUST00703,7,2025-06-13,Churned
CUST00704,4,2025-05-06,Churned
CUST00705,5,2025-11-07,Active
CUST00706,6,2025-12-26,Active
CUST00707,4,2025-05-27,Churned
CUST00708,4,2025-10-05,Active
CUST00709,3,2025-10-22,Active
CUST00710,6,2025-11-11,Active
CUST00711,7,2025-10-24,Active
CUST00712,7,2025-12-11,Active
CUST00713,5,2025-05-19,Churned
CUST00714,7,2025-11-26,Active
CUST00715,6,2025-09-27,Churned
CUST00716,1,2024-09-03,Churned
CUST00717,6,2025-10-13,Active
CUST00718,6,2025-11-19,Active
CUST00719,2,2025-08-27,Churned
CUST00720,5,2025-07-06,Churned
CUST00721,5,2025-12-12,Active
CUST00722,4,2025-06-16,Churned
CUST00723,4,2025-12-22,Active
CUST00724,4,2025-07-18,Churned
CUST00725,7,2025-11-14,Active
CUST00726,8,2025-12-23,Active
CUST00727,7,2025-04-10,Churned
CUST00728,4,2024-12-18,Churned
CUST00729,7,2025-12-18,Active
CUST00730,1,2025-08-13,Churned
CUST00731,6,2025-03-27,Churned
CUST00732,6,2025-12-03,Active
CUST00733,3,2025-11-17,Active
CUST00734,8,2025-11-02,Active
CUST00735,6,2025-10-15,Active
CUST00736,4,2025-08-22,Churned
CUST00737,2,2024-04-21,Churned
CUST00738,3,2025-08-09,Churned
CUST00739,3,2025-04-10,Churned
CUST00740,5,2025-11-16,Active
CUST00741,2,2025-11-21,Active
CUST00742,7,2025-10-11,Active
CUST00743,5,2025-05-11,Churned
CUST00744,7,2025-11-06,Active
CUST00745,6,2025-11-05,Active
CUST00746,2,2025-01-05,Churned
CUST00747,6,2025-08-04,Churned
CUST00748,5,2025-05-31,Churned
CUST00749,7,2025-10-02,Churned
CUST00750,4,2025-12-28,Active
CUST00751,6,2025-11-11,Active
CUST00752,6,2025-07-22,Churned
CUST00753,5,2025-06-17,Churned
